ip,intentos_login,fallos_login,bytes_descargados,horas_actividad,puertos_distintos
185.220.101.5,537,531,1240,3,2
192.168.1.101,3,0,15420,9,1
10.0.0.12,4,1,8730,10,2
192.168.1.45,2,0,22100,11,1
10.0.0.34,3,1,11500,14,1
172.16.0.8,5,2,9800,9,2
192.168.2.11,2,0,18300,10,1
10.0.1.22,3,0,13200,15,1
192.168.1.78,4,1,7600,11,2
10.0.0.67,2,1,16800,13,1
172.16.1.5,3,0,12400,10,1
192.168.3.20,5,1,19700,9,2
10.0.2.15,2,0,8900,14,1
192.168.1.200,3,1,14300,12,1
10.0.0.89,4,0,21600,11,1
172.16.2.10,2,1,10200,10,2
192.168.4.33,3,0,17400,13,1
10.0.3.44,4,1,9100,15,1
192.168.1.156,2,0,13800,10,1
10.0.0.201,3,1,20500,9,2
172.16.0.22,5,2,11200,14,1
192.168.2.88,2,0,16900,11,1
10.0.1.77,3,0,8400,12,1
192.168.5.10,4,1,22800,10,2
10.0.0.145,2,1,15700,13,1
