ip,intentos_login,fallos_login,bytes_descargados,horas_actividad,puertos_distintos
80.82.77.33,1,0,3200,7,74
198.20.69.74,2,1,4100,11,61
192.168.1.101,3,0,18400,9,2
10.0.0.12,2,1,11200,10,1
192.168.1.45,4,0,22700,11,2
10.0.0.34,3,1,9800,14,1
172.16.0.8,2,0,14300,9,1
192.168.2.11,5,1,17600,10,2
10.0.1.22,3,0,12900,15,1
192.168.1.78,2,1,8700,11,1
10.0.0.67,4,0,19200,13,2
172.16.1.5,3,1,10400,10,1
192.168.3.20,2,0,21100,9,1
10.0.2.15,3,1,13700,14,2
192.168.1.200,4,0,16500,12,1
10.0.0.89,2,1,9300,11,1
172.16.2.10,3,0,18800,10,2
192.168.4.33,5,1,11900,13,1
10.0.3.44,2,0,14600,15,1
192.168.1.156,3,1,20300,10,2
10.0.0.201,4,0,8200,9,1
172.16.0.22,2,1,17100,14,1
192.168.2.88,3,0,12600,11,2
10.0.1.77,4,1,15800,12,1
192.168.5.10,2,0,23200,10,1
